,dialogue,tokens,compound,fear,anger,anticip,trust,surprise,sadness,disgust,joy
573,Ill eat out.,['Ill eat out.'],-0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,"One more thing, Benes, regarding sexual activity Strictly prohibited, but if you absolutely must, do us all a big favour. Do it in the tub.","['One more thing, Benes, regarding sexual activity Strictly prohibited, but if you absolutely must, do us all a big favour.', 'Do it in the tub.']",,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
575,(to Jerry) Ready?,['(to Jerry) Ready?'],0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,"Yeah, one sec.","['Yeah, one sec.']",0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,"Hey, Elaine.","['Hey, Elaine.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,Hi.,['Hi.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,Coming to the airport with us?,['Coming to the airport with us?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,"No, Im staying here for the weekend. Im getting a break from my roommate.","['No, Im staying here for the weekend.', 'Im getting a break from my roommate.']",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
581,"Oh, the actress-waitress?","['Oh, the actress-waitress?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,"No, the waitress-actress. She just got some part in some dinner theater production of A Chorus Line. So, now all day long shes walking around the apartment singing, God, I hope I get it, I hope I get it! Shes gonna get it right in her...","['No, the waitress-actress.', 'She just got some part in some dinner theater production of A Chorus Line.', 'So, now all day long shes walking around the apartment singing, God, I hope I get it, I hope I get it!', 'Shes gonna get it right in her...']",0.2004,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285
583,So just kick her out.,['So just kick her out.'],,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
584,Shes on the lease! George you have got to find another place for me.,"['Shes on the lease!', 'George you have got to find another place for me.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,"Yeah, well...a little rough finding something good in your price-range. (to Jerry) But you, my friend, may be in luck.","['Yeah, well...a little rough finding something good in your price-range.', '(to Jerry) But you, my friend, may be in luck.']",0.4484,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.25
586,Im not looking.,['Im not looking.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,"No no no, this ones different. This ones a beauty!","['No no no, this ones different.', 'This ones a beauty!']",0.3584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
588,"Yeah, whats it like?","['Yeah, whats it like?']",0.5719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,"I havent seen it yet, but its a two-bedroom, its on the uh, west 83rd, bout a half block from the park?","['I havent seen it yet, but its a two-bedroom, its on the uh, west 83rd, bout a half block from the park?']",-0.5927,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
590,How much?,['How much?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,"Uh, twice what youre payin here, but its a great building. Its two bedrooms!","['Uh, twice what youre payin here, but its a great building.', 'Its two bedrooms!']",0.3936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Two bedrooms? Why do I need two bedrooms? I got enough trouble maintaining activity in one. (George gives Elaine a look while Jerrys back is turned. Jerry turns around.) I saw that.,"['Two bedrooms?', 'Why do I need two bedrooms?', 'I got enough trouble maintaining activity in one.', '(George gives Elaine a look while Jerrys back is turned.', 'Jerry turns around.)', 'I saw that.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,You oughta at least take a look at it.,['You oughta at least take a look at it.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,Really? Why?,"['Really?', 'Why?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Cause then I could move in here.,['Cause then I could move in here.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,Ohhhh...,['Ohhhh...'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,Its time you got outta here anyway.,['Its time you got outta here anyway.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,"Yeah, tell im. But quickly, Im double parked here.","['Yeah, tell im.', 'But quickly, Im double parked here.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,"Listen, Jerry, this place is falling apart. You have no hot water, you cant have soft cheese...","['Listen, Jerry, this place is falling apart.', 'You have no hot water, you cant have soft cheese...']",-0.2107,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
600,Lets not forget the radiator. The steam has been on here for ten years. No human can turn this off.,"['Lets not forget the radiator.', 'The steam has been on here for ten years.', 'No human can turn this off.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,"Jerry, come on, youre doin okay now. You should at least take a look at this place. You shouldnt have to live like this.","['Jerry, come on, youre doin okay now.', 'You should at least take a look at this place.', 'You shouldnt have to live like this.']",0.1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,Like this? You just said you wanted to live here.,"['Like this?', 'You just said you wanted to live here.']",0.1806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,"Well, for me its a step up. Its like moving from Iceland to Finland.","['Well, for me its a step up.', 'Its like moving from Iceland to Finland.']",0.2787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,"Jerry, what do you, you wanna, you wanna see the place or not?","['Jerry, what do you, you wanna, you wanna see the place or not?']",,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
605,"I cant think about it now. Come on, Im going to Minneapolis. I got four shows this weekend.","['I cant think about it now.', 'Come on, Im going to Minneapolis.', 'I got four shows this weekend.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,"Elaine. (Jerry puts his bags down, sits down on the couch, picks up the remote control and points it at the spot the TV usually occupies. The TV is not there. He continues to point the remote at random things around the room, searching for the TV.) ELAINE!","['Elaine.', '(Jerry puts his bags down, sits down on the couch, picks up the remote control and points it at the spot the TV usually occupies.', 'The TV is not there.', 'He continues to point the remote at random things around the room, searching for the TV.)', 'ELAINE!']",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
607,"(from the bathroom) JERRY! (Elaine enters the living-room.) Jerry, oh, hi, welcome back. How were the shows?","['(from the bathroom) JERRY!', '(Elaine enters the living-room.)', 'Jerry, oh, hi, welcome back.', 'How were the shows?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,"Great, I had fun. Wheres the TV, wheres the VCR?","['Great, I had fun.', 'Wheres the TV, wheres the VCR?']",0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
609,What?,['What?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,They were stolen.,['They were stolen.'],-0.4939,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
611,Stolen? When?,"['Stolen?', 'When?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,A couple a hours ago. The police are coming right over.,"['A couple a hours ago.', 'The police are coming right over.']",,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
613,Stolen?,['Stolen?'],-0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,(looking at Kramer) Someone left the door open.,['(looking at Kramer) Someone left the door open.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,(to Kramer) You left the door open?!,"['(to Kramer) You left the door open?', '!']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,"Uh, Jer, well you know, I was cookin and I, I uh, I came in to get this spatula...and I left the door open, cause I was gonna bring the spatula right back!","['Uh, Jer, well you know, I was cookin and I, I uh, I came in to get this spatula...and I left the door open, cause I was gonna bring the spatula right back!']",0.3382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,"Wait, you left the lock open or the door open?","['Wait, you left the lock open or the door open?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,(guiltily) The door.,['(guiltily) The door.'],-0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,The door? You left the door open?,"['The door?', 'You left the door open?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,"Yeah, well, I was gonna bring the spatula right back.","['Yeah, well, I was gonna bring the spatula right back.']",0.5106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,"Yeah, and?","['Yeah, and?']",0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,"Well, I got caught up... watching a soap opera. The Bold And The Beautiful.","['Well, I got caught up... watching a soap opera.', 'The Bold And The Beautiful.']",0.4113,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.125
623,So the door was wide open?,['So the door was wide open?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,Wide open!,['Wide open!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,(to Elaine) And where were you?,['(to Elaine) And where were you?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,I was at Bloomingdales... waiting for the shower to heat up.,['I was at Bloomingdales... waiting for the shower to heat up.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,"Look, Jerry, Im sorry, Im uh- you have insurance, right buddy?","['Look, Jerry, Im sorry, Im uh- you have insurance, right buddy?']",,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
628,No.,['No.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,(shocked) How can you not have insurance?,['(shocked) How can you not have insurance?'],-0.3182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,Because I spent my money on the Clapgo D-29. Its the most impenetrable lock on the market today. It has only one design flaw. The door... (Jerry pushes the door shut.) ...MUST BE CLOSED!!,"['Because I spent my money on the Clapgo D-29.', 'Its the most impenetrable lock on the market today.', 'It has only one design flaw.', 'The door... (Jerry pushes the door shut.)', '...MUST BE CLOSED!', '!']",,0.0,0.1,0.0,0.2,0.1,0.1,0.0,0.1
631,"Jerry! Im gonna find your stuff. Im gonna solve it, Im on the case, buddy, Im on the case.","['Jerry!', 'Im gonna find your stuff.', 'Im gonna solve it, Im on the case, buddy, Im on the case.']",,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.1
632,"Yeah, dont investigate, dont pay me back, it was an accident.","['Yeah, dont investigate, dont pay me back, it was an accident.']",-0.2776,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
633,(theatrical) I made a mistake.,['(theatrical) I made a mistake.'],-0.34,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
634,These things happen.,['These things happen.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635,Im human.,['Im human.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,In your way.,['In your way.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,"Lets see, thats, one TV, a stereo, one leather jacket, a VCR and a computer...is that bout it?","['Lets see, thats, one TV, a stereo, one leather jacket, a VCR and a computer...is that bout it?']",,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
638,Answering machine.,['Answering machine.'],,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
639,"(disappointed) Answering machine. (jovially) Oh, I hate the idea of somebody out there returning my calls.","['(disappointed) Answering machine.', '(jovially) Oh, I hate the idea of somebody out there returning my calls.']",-0.3891,0.07692307692307693,0.15384615384615385,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.0
640,What do you mean?,['What do you mean?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,Its a joke.,['Its a joke.'],0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,"I see. Well, mister Seinfeld uh, well look into it and uh, well let you know if we uh, you know, if we find anything.","['I see.', 'Well, mister Seinfeld uh, well look into it and uh, well let you know if we uh, you know, if we find anything.']",0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,You ever find anything?,['You ever find anything?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,No.,['No.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,"Well, thanks anyway.","['Well, thanks anyway.']",0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,You bet.,['You bet.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,I didnt get that joke either.,['I didnt get that joke either.'],-0.2235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,The crook has the machine. The messages arent for him. Hes the crook. Why would he answer- (Jerry gives up on the explanation and turns around to see George standing behind him.) How did you get in here?,"['The crook has the machine.', 'The messages arent for him.', 'Hes the crook.', 'Why would he answer- (Jerry gives up on the explanation and turns around to see George standing behind him.)', 'How did you get in here?']",,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
649,"I walked in, your lobby door is broken again.","['I walked in, your lobby door is broken again.']",-0.4588,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
650,Again?,['Again?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,I dont know how you put up with this.,['I dont know how you put up with this.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,"Yeah, tell im George.","['Yeah, tell im George.']",0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,(to Elaine) You would still wanna move in here?,['(to Elaine) You would still wanna move in here?'],,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
654,Yes! You dont understand. Im living with Ethel Merman without the talent.,"['Yes!', 'You dont understand.', 'Im living with Ethel Merman without the talent.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,"(to George) Is that uh, other apartment still available?","['(to George) Is that uh, other apartment still available?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,"I got ripped off for about the...18th time? And now, the first couple a times you go through it, its very upsetting and your first reaction or one of your friends will say, Call the police. You really should call the police. So you think to yourself, you know, you watch TV, you think, Yeah, Im calling the police. Stakeouts, manhunts... Im gonna see some real action. Right, you think that. So, the police come over to your house, they fill out The Report. They give you Your Copy. Now, unless they give the crook his copy, I dont really think were gonna crack this case, do you? Its not like Batman, where theres three crooks in the city and everybody pretty much knows, who they are. Very few crooks even go to the trouble to come up with a theme for their careers anymore. It makes them a lot tougher to spot. Did you lose a sony? It could be the Penguin. I think we can round him up, hes dressed like a PENGUIN! We can find him, hes a PENGUIN!","['I got ripped off for about the...18th time?', 'And now, the first couple a times you go through it, its very upsetting and your first reaction or one of your friends will say, Call the police.', 'You really should call the police.', 'So you think to yourself, you know, you watch TV, you think, Yeah, Im calling the police.', 'Stakeouts, manhunts... Im gonna see some real action.', 'Right, you think that.', 'So, the police come over to your house, they fill out The Report.', 'They give you Your Copy.', 'Now, unless they give the crook his copy, I dont really think were gonna crack this case, do you?', 'Its not like Batman, where theres three crooks in the city and everybody pretty much knows, who they are.', 'Very few crooks even go to the trouble to come up with a theme for their careers anymore.', 'It makes them a lot tougher to spot.', 'Did you lose a sony?', 'It could be the Penguin.', 'I think we can round him up, hes dressed like a PENGUIN!', 'We can find him, hes a PENGUIN!']",,0.2,0.02857142857142857,0.0,0.2,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857
657,"Oh, well, come on. This is an apartment, this is a home! This is a place to live. Oooh, a fireplace, are you kidding me! Does this work?","['Oh, well, come on.', 'This is an apartment, this is a home!', 'This is a place to live.', 'Oooh, a fireplace, are you kidding me!', 'Does this work?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,"I didnt know there was a fireplace. A fireplace, that's incredible.","['I didnt know there was a fireplace.', ""A fireplace, that's incredible.""]",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,How do you get all that wood in here?,['How do you get all that wood in here?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,They deliver it.,['They deliver it.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,They deliver wood?,['They deliver wood?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,Yeah.,['Yeah.'],0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,What do you tip a wood guy?,['What do you tip a wood guy?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,I didnt know there was a fireplace.,['I didnt know there was a fireplace.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,Look! Look at- look at this! Theres a garden.,"['Look!', 'Look at- look at this!', 'Theres a garden.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
666,A garden! I cant believe theres a garden!,"['A garden!', 'I cant believe theres a garden!']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
667,Would I have to get a gardener?,['Would I have to get a gardener?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,"Yeah, you can get a gardener.","['Yeah, you can get a gardener.']",0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,You tip him?,['You tip him?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,You can.,['You can.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,(to Elaine) You dont tip a gardener!,['(to Elaine) You dont tip a gardener!'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,You can tip a gardener.,['You can tip a gardener.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,You dont need a gardener.,['You dont need a gardener.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,"Jerry, you can barbecue back here.","['Jerry, you can barbecue back here.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,They deliver the coal?,['They deliver the coal?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,"Sure, its...probably the same guy, who delivers the wood.","['Sure, its...probably the same guy, who delivers the wood.']",0.3182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,"Oh, then I gotta tip him.","['Oh, then I gotta tip him.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,"Oh, damn, this place is incredible, look at all this great light!","['Oh, damn, this place is incredible, look at all this great light!']",0.5372,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
679,I dont have any plants.,['I dont have any plants.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,I have plants. (snorts),"['I have plants.', '(snorts)']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,"Jerry, look at this closet! Look at this! Im walking in it! (Elaine walks into the closet.) Its a walk-in. Can you believe it? Im nuts about this, what do you think?","['Jerry, look at this closet!', 'Look at this!', 'Im walking in it!', '(Elaine walks into the closet.)', 'Its a walk-in.', 'Can you believe it?', 'Im nuts about this, what do you think?']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,"I like that. (He opens the closet. Elaine walks out with an angry look.) What do you think, George?","['I like that.', '(He opens the closet.', 'Elaine walks out with an angry look.)', 'What do you think, George?']",,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
683,Its your decision.,['Its your decision.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,"Im takin it, Im takin the place. Im gonna take it, this is gonna be my new place. Im livin here...Im movin.","['Im takin it, Im takin the place.', 'Im gonna take it, this is gonna be my new place.', 'Im livin here...Im movin.']",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,(laughing with joy) Your movin? That means Im movin. (She hugs Jerry.) Geeeeee (to George) isnt that incredible!,"['(laughing with joy) Your movin?', 'That means Im movin.', '(She hugs Jerry.)', 'Geeeeee (to George) isnt that incredible!']",0.2221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
686,(unenthusiastic) Congratulations.,['(unenthusiastic) Congratulations.'],0.5994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,What about the couch?,['What about the couch?'],,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
688,You like the couch? Ill tell you what Im gonna do.,"['You like the couch?', 'Ill tell you what Im gonna do.']",0.1806,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
689,What?,['What?'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,"Youre movin in, youre a good friend, I wanna start you off on the right foot. Give me...a hundred and fifty dollars. (Elaine is shocked, Jerry opens the door to the hall.) Get it outta here right now, take it out the door, I dont even wanna see it, go, get it out.","['Youre movin in, youre a good friend, I wanna start you off on the right foot.', 'Give me...a hundred and fifty dollars.', '(Elaine is shocked, Jerry opens the door to the hall.)', 'Get it outta here right now, take it out the door, I dont even wanna see it, go, get it out.']",,0.13333333333333333,0.0,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333
691,A hundred and fifty dollars? A hundred and fifty dollars for what? For this couch?,"['A hundred and fifty dollars?', 'A hundred and fifty dollars for what?', 'For this couch?']",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
692,Yeah!,['Yeah!'],0.3595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,For this couch?!,"['For this couch?', '!']",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
694,"Okay, you tell me. What is it worth?","['Okay, you tell me.', 'What is it worth?']",0.2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,"Okay, uh, Ill tell you what. I could go as high as uh... (She takes a closer look at couch.) I dont know, maybe...twenty dollars?","['Okay, uh, Ill tell you what.', 'I could go as high as uh... (She takes a closer look at couch.)', 'I dont know, maybe...twenty dollars?']",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
696,Yeah?,['Yeah?'],0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,"(from the intercom) Yeah, its George.","['(from the intercom) Yeah, its George.']",0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,"Come on up. (Jerry presses the second button and opens the apartment door. He walks back to the couch.) Oh, all right, forget it, Im gonna take it with me now... (He picks up the cushions.) Im just gonna pack up the cushions right now...","['Come on up.', '(Jerry presses the second button and opens the apartment door.', 'He walks back to the couch.)', 'Oh, all right, forget it, Im gonna take it with me now... (He picks up the cushions.)', 'Im just gonna pack up the cushions right now...']",,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
699,"Okay okay okay okay, you win. Forty dollars.","['Okay okay okay okay, you win.', 'Forty dollars.']",0.3404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
